"STATION","DATE","EMXP"
"USC00027390","1950-01","3.6"
"USC00027390","1950-02","7.6"
"USC00027390","1950-03","0.8"
"USC00027390","1950-04","1.5"
"USC00027390","1950-05","0.0"
"USC00027390","1950-06","7.6"
"USC00027390","1950-07","17.8"
"USC00027390","1950-08","0.0"
"USC00027390","1950-09","8.6"
"USC00027390","1950-10","0.3"
"USC00027390","1950-11","0.0"
"USC00027390","1950-12","0.0"
"USC00027390","1951-01","7.4"
"USC00027390","1951-02","3.8"
"USC00027390","1951-03","24.6"
"USC00027390","1951-04","10.4"
"USC00027390","1951-05","0.3"
"USC00027390","1951-06","0.0"
"USC00027390","1951-07","9.1"
"USC00027390","1951-08","21.3"
"USC00027390","1951-09","6.6"
"USC00027390","1951-10","16.0"
"USC00027390","1951-11","4.1"
"USC00027390","1951-12","7.9"
"USC00027390","1952-01","5.8"
"USC00027390","1952-02","3.0"
"USC00027390","1952-03","11.2"
"USC00027390","1952-04","3.8"
"USC00027390","1952-05","0.3"
"USC00027390","1952-06","19.8"
"USC00027390","1952-07","16.5"
"USC00027390","1952-08","16.3"
"USC00027390","1952-09","3.6"
"USC00027390","1952-10","0.0"
"USC00027390","1952-11","6.4"
"USC00027390","1952-12","5.6"
"USC00027390","1953-01","2.0"
"USC00027390","1953-02","2.0"
"USC00027390","1953-03","18.0"
"USC00027390","1953-04","4.8"
"USC00027390","1953-05","4.3"
"USC00027390","1953-06","3.8"
"USC00027390","1953-07","26.2"
"USC00027390","1953-08","2.3"
"USC00027390","1953-09","0.0"
"USC00027390","1953-10","0.0"
"USC00027390","1953-11","2.5"
"USC00027390","1953-12","5.1"
"USC00027390","1954-01","12.7"
"USC00027390","1954-02","6.4"
"USC00027390","1954-03","17.0"
"USC00027390","1954-04","0.0"
"USC00027390","1954-05","2.8"
"USC00027390","1954-06","1.5"
"USC00027390","1954-07","21.1"
"USC00027390","1954-08","19.1"
"USC00027390","1954-09","29.5"
"USC00027390","1954-10","0.0"
"USC00027390","1954-11","0.0"
"USC00027390","1954-12","2.0"
"USC00027390","1955-01","17.3"
"USC00027390","1955-02","2.8"
"USC00027390","1955-03","1.0"
"USC00027390","1955-04","0.5"
"USC00027390","1955-05","0.0"
"USC00027390","1955-06","5.6"
"USC00027390","1955-07","25.9"
"USC00027390","1955-08","10.2"
"USC00027390","1955-09","0.5"
"USC00027390","1955-10","8.6"
"USC00027390","1955-11","0.0"
"USC00027390","1955-12","7.1"
"USC00027390","1956-01","6.4"
"USC00027390","1956-02","5.8"
"USC00027390","1956-03","0.0"
"USC00027390","1956-04","3.0"
"USC00027390","1956-05","1.0"
"USC00027390","1956-06","0.3"
"USC00027390","1956-07","9.9"
"USC00027390","1956-08","10.2"
"USC00027390","1956-09","0.5"
"USC00027390","1956-10","4.3"
"USC00027390","1956-11","0.0"
"USC00027390","1956-12","9.7"
"USC00027390","1957-01","9.4"
"USC00027390","1957-02","3.6"
"USC00027390","1957-03","16.5"
"USC00027390","1957-04","3.3"
"USC00027390","1957-05","1.8"
"USC00027390","1957-06","6.1"
"USC00027390","1957-07","26.9"
"USC00027390","1957-08","13.2"
"USC00027390","1957-09","0.0"
"USC00027390","1957-10","8.9"
"USC00027390","1957-11","7.9"
"USC00027390","1957-12","5.6"
"USC00027390","1958-01","1.8"
"USC00027390","1958-02","16.8"
"USC00027390","1958-03","15.2"
"USC00027390","1958-04","10.9"
"USC00027390","1958-05","0.5"
"USC00027390","1958-06","8.4"
"USC00027390","1958-07","18.5"
"USC00027390","1958-08","4.3"
"USC00027390","1958-09","12.7"
"USC00027390","1958-10","8.1"
"USC00027390","1958-11","7.1"
"USC00027390","1958-12","0.8"
"USC00027390","1959-01","0.5"
"USC00027390","1959-02","5.8"
"USC00027390","1959-03","0.0"
"USC00027390","1959-04","1.8"
"USC00027390","1959-05","0.0"
"USC00027390","1959-06","4.3"
"USC00027390","1959-07","18.0"
"USC00027390","1959-08","21.6"
"USC00027390","1959-09","0.0"
"USC00027390","1959-10","14.0"
"USC00027390","1959-11","6.4"
"USC00027390","1959-12","6.4"
"USC00027390","1960-01","6.9"
"USC00027390","1960-02","16.5"
"USC00027390","1960-03","2.3"
"USC00027390","1960-04","0.0"
"USC00027390","1960-05","5.6"
"USC00027390","1960-06","0.5"
"USC00027390","1960-07","22.4"
"USC00027390","1960-08","4.1"
"USC00027390","1960-09","3.8"
"USC00027390","1960-10","10.9"
"USC00027390","1960-11","0.3"
"USC00027390","1960-12","9.7"
"USC00027390","1961-01","15.7"
"USC00027390","1961-02","0.8"
"USC00027390","1961-03","2.5"
"USC00027390","1961-04","0.0"
"USC00027390","1961-05","0.0"
"USC00027390","1961-06","3.0"
"USC00027390","1961-07","11.7"
"USC00027390","1961-08","13.7"
"USC00027390","1961-09","17.5"
"USC00027390","1961-10","20.3"
"USC00027390","1961-11","16.5"
"USC00027390","1961-12","8.6"
"USC00027390","1962-01","19.8"
"USC00027390","1962-02","0.5"
"USC00027390","1962-03","7.9"
"USC00027390","1962-04","0.0"
"USC00027390","1962-05","0.0"
"USC00027390","1962-06","6.4"
"USC00027390","1962-07","17.5"
"USC00027390","1962-08","2.5"
"USC00027390","1962-09","53.3"
"USC00027390","1962-10","16.5"
"USC00027390","1962-11","4.6"
"USC00027390","1962-12","8.1"
"USC00027390","1963-01","4.3"
"USC00027390","1963-02","19.1"
"USC00027390","1963-03","6.9"
"USC00027390","1963-04","1.5"
"USC00027390","1963-05","0.0"
"USC00027390","1963-06","0.0"
"USC00027390","1963-07","15.0"
"USC00027390","1963-08","57.2"
"USC00027390","1963-09","5.6"
"USC00027390","1963-10","13.0"
"USC00027390","1963-11","3.3"
"USC00027390","1963-12","1.5"
"USC00027390","1964-01","3.0"
"USC00027390","1964-02","0.8"
"USC00027390","1964-03","4.1"
"USC00027390","1964-04","11.2"
"USC00027390","1964-05","0.0"
"USC00027390","1964-06","1.5"
"USC00027390","1964-07","11.9"
"USC00027390","1964-08","34.3"
"USC00027390","1964-09","28.7"
"USC00027390","1964-10","4.3"
"USC00027390","1964-11","10.7"
"USC00027390","1964-12","12.7"
"USC00027390","1965-01","29.5"
"USC00027390","1965-02","4.6"
"USC00027390","1965-03","1.5"
"USC00027390","1965-04","1.5"
"USC00027390","1965-05","0.5"
"USC00027390","1965-06","10.2"
"USC00027390","1965-07","34.3"
"USC00027390","1965-08","25.4"
"USC00027390","1965-09","9.1"
"USC00027390","1965-10","0.0"
"USC00027390","1965-11","8.9"
"USC00027390","1965-12","45.2"
"USC00027390","1966-01","7.6"
"USC00027390","1966-02","19.3"
"USC00027390","1966-03","3.0"
"USC00027390","1966-04","0.0"
"USC00027390","1966-05","0.0"
"USC00027390","1966-06","22.1"
"USC00027390","1966-07","44.7"
"USC00027390","1966-08","19.1"
"USC00027390","1966-09","50.0"
"USC00027390","1966-10","0.8"
"USC00027390","1966-11","3.8"
"USC00027390","1966-12","3.3"
"USC00027390","1967-01","2.3"
"USC00027390","1967-02","2.0"
"USC00027390","1967-03","1.8"
"USC00027390","1967-04","2.5"
"USC00027390","1967-05","5.8"
"USC00027390","1967-06","1.5"
"USC00027390","1967-07","17.5"
"USC00027390","1967-08","30.7"
"USC00027390","1967-09","14.0"
"USC00027390","1967-10","6.6"
"USC00027390","1967-11","3.0"
"USC00027390","1967-12","20.3"
"USC00027390","1968-01","7.1"
"USC00027390","1968-02","7.9"
"USC00027390","1968-03","6.1"
"USC00027390","1968-04","1.0"
"USC00027390","1968-05","0.0"
"USC00027390","1968-06","4.1"
"USC00027390","1968-07","26.4"
"USC00027390","1968-08","41.9"
"USC00027390","1968-09","2.0"
"USC00027390","1968-10","4.6"
"USC00027390","1968-11","10.2"
"USC00027390","1968-12","18.5"
"USC00027390","1969-01","2.3"
"USC00027390","1969-02","1.5"
"USC00027390","1969-03","5.8"
"USC00027390","1969-04","0.8"
"USC00027390","1969-05","3.3"
"USC00027390","1969-06","0.0"
"USC00027390","1969-07","26.7"
"USC00027390","1969-08","21.6"
"USC00027390","1969-09","11.4"
"USC00027390","1969-10","18.8"
"USC00027390","1969-11","8.1"
"USC00027390","1969-12","11.2"
"USC00027390","1970-01","0.3"
"USC00027390","1970-02","5.6"
"USC00027390","1970-03","11.7"
"USC00027390","1970-04","3.3"
"USC00027390","1970-05","0.0"
"USC00027390","1970-06","6.1"
"USC00027390","1970-07","13.0"
"USC00027390","1970-08","2.5"
"USC00027390","1970-09","14.0"
"USC00027390","1970-10","26.9"
"USC00027390","1970-11","0.0"
"USC00027390","1970-12","6.1"
"USC00027390","1971-01","2.3"
"USC00027390","1971-02","3.3"
"USC00027390","1971-03","0.0"
"USC00027390","1971-04","2.3"
"USC00027390","1971-05","0.0"
"USC00027390","1971-06","0.0"
"USC00027390","1971-07","7.4"
"USC00027390","1971-08","48.3"
"USC00027390","1971-09","6.1"
"USC00027390","1971-10","19.8"
"USC00027390","1971-11","5.1"
"USC00027390","1971-12","8.9"
"USC00027390","1972-01","1.8"
"USC00027390","1972-02","0.0"
