"STATION","DATE","EMXP"
"USC00338609","1950-01","42.7"
"USC00338609","1950-02","36.3"
"USC00338609","1950-03","35.8"
"USC00338609","1950-04","21.1"
"USC00338609","1950-05","18.3"
"USC00338609","1950-06","42.4"
"USC00338609","1950-07","63.8"
"USC00338609","1950-08","10.4"
"USC00338609","1950-09","24.4"
"USC00338609","1950-10","134.6"
"USC00338609","1950-11","50.3"
"USC00338609","1950-12","18.8"
"USC00338609","1951-01","10.2"
"USC00338609","1951-02","28.7"
"USC00338609","1951-03","15.7"
"USC00338609","1951-04","20.3"
"USC00338609","1951-05","42.4"
"USC00338609","1951-06","57.9"
"USC00338609","1951-07","24.1"
"USC00338609","1951-08","12.7"
"USC00338609","1951-09","18.0"
"USC00338609","1951-10","33.5"
"USC00338609","1951-11","16.5"
"USC00338609","1951-12","29.2"
"USC00338609","1952-01","47.0"
"USC00338609","1952-02","15.2"
"USC00338609","1952-03","54.6"
"USC00338609","1952-04","27.7"
"USC00338609","1952-05","50.8"
"USC00338609","1952-06","18.8"
"USC00338609","1952-07","30.2"
"USC00338609","1952-08","19.1"
"USC00338609","1952-09","35.1"
"USC00338609","1952-10","17.5"
"USC00338609","1952-11","19.1"
"USC00338609","1952-12","17.3"
"USC00338609","1953-01","14.7"
"USC00338609","1953-02","23.4"
"USC00338609","1953-03","25.1"
"USC00338609","1953-04","18.0"
"USC00338609","1953-05","17.5"
"USC00338609","1953-06","13.0"
"USC00338609","1953-07","22.1"
"USC00338609","1953-08","29.5"
"USC00338609","1953-09","24.9"
"USC00338609","1953-10","8.1"
"USC00338609","1953-11","7.1"
"USC00338609","1953-12","16.3"
"USC00338609","1954-01","23.4"
"USC00338609","1954-02","21.8"
"USC00338609","1954-03","22.1"
"USC00338609","1954-04","19.1"
"USC00338609","1954-05","26.7"
"USC00338609","1954-06","47.0"
"USC00338609","1954-07","44.5"
"USC00338609","1954-08","49.3"
"USC00338609","1954-09","35.3"
"USC00338609","1954-10","39.9"
"USC00338609","1954-11","9.4"
"USC00338609","1954-12","17.5"
"USC00338609","1955-01","24.1"
"USC00338609","1955-02","8.9"
"USC00338609","1955-03","47.5"
"USC00338609","1955-04","26.7"
"USC00338609","1955-05","19.6"
"USC00338609","1955-06","22.9"
"USC00338609","1955-07","73.2"
"USC00338609","1955-08","37.1"
"USC00338609","1955-09","10.7"
"USC00338609","1955-10","62.5"
"USC00338609","1955-11","62.2"
"USC00338609","1955-12","6.6"
"USC00338609","1956-01","18.5"
"USC00338609","1956-02","38.6"
"USC00338609","1956-03","17.0"
"USC00338609","1956-04","10.4"
"USC00338609","1956-05","34.8"
"USC00338609","1956-06","41.1"
"USC00338609","1956-07","24.6"
"USC00338609","1956-08","23.1"
"USC00338609","1956-09","4.1"
"USC00338609","1956-10","5.8"
"USC00338609","1956-11","24.6"
"USC00338609","1956-12","29.2"
"USC00338609","1957-01","11.9"
"USC00338609","1957-02","21.6"
"USC00338609","1957-03","6.1"
"USC00338609","1957-04","33.5"
"USC00338609","1957-05","35.1"
"USC00338609","1957-06","58.9"
"USC00338609","1957-07","24.6"
"USC00338609","1957-08","15.5"
"USC00338609","1957-09","52.1"
"USC00338609","1957-10","42.2"
"USC00338609","1957-11","15.0"
"USC00338609","1957-12","38.1"
"USC00338609","1958-01","16.0"
"USC00338609","1958-02","7.6"
